count_point_id,direction_of_travel,year,count_date,hour,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
17170,N,2019,9/17/2019,7,6,London,145,Camden,A502,Major,A400/A503,Castlehaven Road,528830,184000,51.540205,-0.14374061,0.4,0.25,29,12,173,27,97,13,5,2,0,1,0,21,330
17170,N,2019,9/17/2019,13,6,London,145,Camden,A502,Major,A400/A503,Castlehaven Road,528830,184000,51.540205,-0.14374061,0.4,0.25,25,39,232,27,106,12,0,6,0,0,1,19,423
17170,N,2019,9/17/2019,18,6,London,145,Camden,A502,Major,A400/A503,Castlehaven Road,528830,184000,51.540205,-0.14374061,0.4,0.25,108,76,349,23,49,3,1,0,0,0,0,4,501
17170,N,2019,9/17/2019,15,6,London,145,Camden,A502,Major,A400/A503,Castlehaven Road,528830,184000,51.540205,-0.14374061,0.4,0.25,36,35,275,25,124,8,2,2,0,0,0,12,471
17170,N,2019,9/17/2019,11,6,London,145,Camden,A502,Major,A400/A503,Castlehaven Road,528830,184000,51.540205,-0.14374061,0.4,0.25,20,33,220,27,105,8,1,3,0,0,1,13,398
17170,N,2019,9/17/2019,10,6,London,145,Camden,A502,Major,A400/A503,Castlehaven Road,528830,184000,51.540205,-0.14374061,0.4,0.25,18,23,263,27,101,9,4,4,0,0,1,18,432
27785,E,2019,3/27/2019,8,6,London,145,Camden,A40,Major,Shaftesbury Ave,Southampton Place,530300,181560,51.517941,-0.12345808,0.3,0.19,230,70,468,64,205,25,10,1,0,1,0,37,844
27785,W,2019,3/27/2019,14,6,London,145,Camden,A40,Major,Shaftesbury Ave,Southampton Place,530300,181560,51.517941,-0.12345808,0.3,0.19,41,0,0,38,0,0,0,0,0,0,0,0,38
27785,E,2019,3/27/2019,18,6,London,145,Camden,A40,Major,Shaftesbury Ave,Southampton Place,530300,181560,51.517941,-0.12345808,0.3,0.19,671,131,774,74,79,5,0,0,0,0,1,6,1064
27785,W,2019,3/27/2019,7,6,London,145,Camden,A40,Major,Shaftesbury Ave,Southampton Place,530300,181560,51.517941,-0.12345808,0.3,0.19,77,0,0,35,0,0,0,0,0,0,0,0,35
27785,W,2019,3/27/2019,18,6,London,145,Camden,A40,Major,Shaftesbury Ave,Southampton Place,530300,181560,51.517941,-0.12345808,0.3,0.19,95,0,0,32,0,0,0,0,0,0,0,0,32
27785,E,2019,3/27/2019,9,6,London,145,Camden,A40,Major,Shaftesbury Ave,Southampton Place,530300,181560,51.517941,-0.12345808,0.3,0.19,119,50,486,65,204,34,13,3,1,2,0,53,858
27785,W,2019,3/27/2019,10,6,London,145,Camden,A40,Major,Shaftesbury Ave,Southampton Place,530300,181560,51.517941,-0.12345808,0.3,0.19,92,0,0,38,0,0,0,0,0,0,0,0,38
27785,E,2019,3/27/2019,15,6,London,145,Camden,A40,Major,Shaftesbury Ave,Southampton Place,530300,181560,51.517941,-0.12345808,0.3,0.19,124,94,555,74,225,13,0,5,1,0,0,19,967
27785,W,2019,3/27/2019,15,6,London,145,Camden,A40,Major,Shaftesbury Ave,Southampton Place,530300,181560,51.517941,-0.12345808,0.3,0.19,49,0,0,37,0,0,0,0,0,0,0,0,37
27785,E,2019,3/27/2019,14,6,London,145,Camden,A40,Major,Shaftesbury Ave,Southampton Place,530300,181560,51.517941,-0.12345808,0.3,0.19,100,97,533,71,256,8,1,7,0,0,0,16,973
27785,E,2019,3/27/2019,12,6,London,145,Camden,A40,Major,Shaftesbury Ave,Southampton Place,530300,181560,51.517941,-0.12345808,0.3,0.19,113,85,451,72,259,16,3,8,0,0,1,28,895
27785,E,2019,3/27/2019,13,6,London,145,Camden,A40,Major,Shaftesbury Ave,Southampton Place,530300,181560,51.517941,-0.12345808,0.3,0.19,90,79,360,64,213,28,0,4,0,0,0,32,748
27785,W,2019,3/27/2019,9,6,London,145,Camden,A40,Major,Shaftesbury Ave,Southampton Place,530300,181560,51.517941,-0.12345808,0.3,0.19,214,0,0,37,0,0,0,0,0,0,0,0,37
27785,W,2019,3/27/2019,11,6,London,145,Camden,A40,Major,Shaftesbury Ave,Southampton Place,530300,181560,51.517941,-0.12345808,0.3,0.19,65,0,0,38,0,0,0,0,0,0,0,0,38
27785,E,2019,3/27/2019,7,6,London,145,Camden,A40,Major,Shaftesbury Ave,Southampton Place,530300,181560,51.517941,-0.12345808,0.3,0.19,101,28,404,72,233,37,10,7,0,2,0,56,793
27785,E,2019,3/27/2019,11,6,London,145,Camden,A40,Major,Shaftesbury Ave,Southampton Place,530300,181560,51.517941,-0.12345808,0.3,0.19,78,65,451,66,247,29,5,6,0,0,0,40,869
27785,W,2019,3/27/2019,16,6,London,145,Camden,A40,Major,Shaftesbury Ave,Southampton Place,530300,181560,51.517941,-0.12345808,0.3,0.19,57,0,0,36,0,0,0,0,0,0,0,0,36
